"Banco de Crédito del Perú","PRIMA AFP S.A.","CREDICORP LTD.",2007-01-01,"A la actualidad"
"CCR Inc. MT-100 Payment Rights Master Trust","PRIMA AFP S.A.","CREDICORP LTD.",2007-01-01,"A la actualidad"
"Continental Sociedad Titulizadora S.A.","AFP HORIZONTE S.A.","GRUPO BBVA",2000-07-11,2013-04-23
"Credicorp Capital Sociedad Titulizadora S.A.","PRIMA AFP S.A.","CREDICORP LTD.",2007-01-01,"A la actualidad"
"Credicorp LTD.","PRIMA AFP S.A.","CREDICORP LTD.",2007-01-01,"A la actualidad"
"Crediscotia Financiera","PROFUTURO AFP","THE BANK OF NOVA SCOTIA",2008-07-17,"A la actualidad"
"Credito Leasing S.A.- Credileasing","PRIMA AFP S.A.","CREDICORP LTD.",2007-01-01,2009-07-01
"Edyficar S.A.","PRIMA AFP S.A.","CREDICORP LTD.",2009-10-21,"A la actualidad"
Mibanco,"PRIMA AFP S.A.","CREDICORP LTD.",2014-03-26,"A la actualidad"
"Scotia Sociedad Titulizadora S.A.","PROFUTURO AFP","THE BANK OF NOVA SCOTIA",2008-06-23,"A la actualidad"
"Scotiabank del Perú","PROFUTURO AFP","THE BANK OF NOVA SCOTIA",2008-06-23,"A la actualidad"
"SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.","PRIMA AFP S.A.","CREDICORP LTD.",2007-01-01,"A la actualidad"
