"ROMERO PAOLETTI DIONISIO","PRIMA AFP S.A.",DIRECTOR,"Alicorp S.A.","PRESIDENTE DEL DIRECTORIO",2009-03-02,2009-03-26,"6 años, 10 meses, 4 días."
"ROMERO PAOLETTI DIONISIO","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","Alicorp S.A.","PRESIDENTE DEL DIRECTORIO",2009-03-26,2010-03-03,"6 años, 11 meses, 0 días."
"DE OSMA BERCKEMEYER OSCAR JAVIER","AFP INTEGRA.",DIRECTOR,"Amérika Financiera S.A.","PRESIDENTE DEL DIRECTORIO",2001-07-12,2003-01-21,"0 años, 3 meses, 22 días."
"DU BOIS FREUND FRITZ PAUL FELIX","AFP INTEGRA.",DIRECTOR,"Austral Group S.A.A.",DIRECTOR,2006-06-22,2008-12-02,"5 años, 4 meses, 7 días."
"HUME HURTADO MARIA JESUS","AFP INTEGRA.",DIRECTOR,"Austral Group S.A.A.",DIRECTOR,2007-01-19,2010-12-17,"1 años, 5 meses, 10 días."
"HUME HURTADO MARIA JESUS","AFP INTEGRA.","PRESIDENTE DEL DIRECTORIO","Austral Group S.A.A.",DIRECTOR,2010-12-17,"A la actualidad","5 años, 4 meses, 8 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","Banco de Crédito del Perú","GERENTE GENERAL",2010-03-18,2013-03-21,"1 años, 11 meses, 17 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.",DIRECTOR,"Banco de Crédito del Perú","GTE PLANEAMIENTO Y FINANZAS",2005-03-14,2007-03-28,"0 años, 10 meses, 12 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","VICEPRESIDENTE DEL DIRECTORIO","Banco de Crédito del Perú","GTE PLANEAMIENTO Y FINANZAS",2007-03-28,2008-02-29,"2 años, 10 meses, 26 días."
"CIGÜEÑAS GUEVARA BENEDICTO","PRIMA AFP S.A.",DIRECTOR,"Banco de Crédito del Perú",DIRECTOR,2005-03-14,2008-02-29,"0 años, 1 meses, 14 días."
"CORREA MALACHOWSKI ALVARO","PRIMA AFP S.A.",DIRECTOR,"Banco de Crédito del Perú","G.CENTRAL DE PLANEA.Y FINANZAS",2008-04-01,2013-09-30,"0 años, 1 meses, 3 días."
"DASSO MONTERO FERNANDO","PRIMA AFP S.A.",DIRECTOR,"Banco de Crédito del Perú","G.CENTRAL DE PLANEA.Y FINANZAS",2013-10-01,"A la actualidad","8 años, 6 meses, 17 días."
