"ROMERO PAOLETTI DIONISIO","Alicorp S.A.","VICEPRESIDENTE DEL DIRECTORIO",2001-03-28,2002-04-26,"PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO",2009-03-26,2010-03-03,"6 años, 11 meses, 0 días."
"ROMERO PAOLETTI DIONISIO","Alicorp S.A.","VICEPRESIDENTE DEL DIRECTORIO",2001-03-28,2002-04-26,"PRIMA AFP S.A.",DIRECTOR,2009-03-02,2009-03-26,"6 años, 10 meses, 4 días."
"SANCHEZ CARRION TRONCON EDUARDO JOSE","Banco de Comercio",DIRECTOR,2016-10-18,2017-03-15,"PROFUTURO AFP",DIRECTOR,2017-03-27,"A la actualidad","0 años, 0 meses, 12 días."
"BAYLY LLONA WALTER","Banco de Crédito del Perú","GTE PLANEAMIENTO Y FINANZAS",2004-04-30,2008-04-01,"PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO",2010-03-18,2013-03-21,"1 años, 11 meses, 17 días."
"DASSO MONTERO FERNANDO","Banco de Crédito del Perú","GTE ADJUNTO DE MARKETING",2001-10-24,2001-10-24,"PRIMA AFP S.A.",DIRECTOR,2005-03-14,"A la actualidad","3 años, 4 meses, 18 días."
"FERRARI DE LAS CASAS GIANFRANCO PIERO DARIO","Banco de Crédito del Perú","GTE BCA CORPORATIVA",2004-01-15,2005-07-04,"PRIMA AFP S.A.",DIRECTOR,2008-09-25,"A la actualidad","3 años, 2 meses, 21 días."
"GAGLIARDI WAKEHAM JOSE LUIS","Banco de Crédito del Perú","GERENTE DIVISION RRHH",2005-03-14,2005-07-04,"AFP UNION VIDA S A","PRESIDENTE DEL DIRECTORIO",2006-08-25,"A la actualidad","1 años, 1 meses, 21 días."
"MUÑOZ RIVERA JOSE LUIS","Banco de Crédito del Perú","GERENTE DE CONTABILIDAD",2005-01-14,2005-01-14,"AFP UNION VIDA S A","GERENTE DE CONTABILIDAD",2006-09-28,"A la actualidad","1 años, 8 meses, 14 días."
"MUÑOZ RIVERA JOSE LUIS","Banco de Crédito del Perú","GERENTE DE CONTABILIDAD",2005-01-14,2005-01-14,"AFP UNION VIDA S A",DIRECTOR,2006-08-25,"A la actualidad","1 años, 7 meses, 11 días."
"ROMERO PAOLETTI DIONISIO","Banco de Crédito del Perú",DIRECTOR,2003-03-28,2008-03-28,"PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO",2009-03-26,2010-03-03,"0 años, 11 meses, 26 días."
"ROMERO PAOLETTI DIONISIO","Banco de Crédito del Perú",DIRECTOR,2003-03-28,2008-03-28,"PRIMA AFP S.A.",DIRECTOR,2009-03-02,2009-03-26,"0 años, 11 meses, 2 días."
"RUBIO FEIJOO PEDRO","Banco de Crédito del Perú","GTE BANCA CORPORATIVA Y EMPRES",2004-01-15,2004-01-15,"PRIMA AFP S.A.",DIRECTOR,2010-03-04,"A la actualidad","6 años, 1 meses, 17 días."
"UCCELLI LABARTHE MIGUEL","Banco Internacional del Peru S.A.A. (Interbank)","GTE DIV NEGOCIOS HIPOTECARIOS",2006-03-11,2008-06-30,"PROFUTURO AFP","VICEPRESIDENTE DEL DIRECTORIO",2015-03-24,2016-03-29,"6 años, 8 meses, 22 días."
