"ROMERO PAOLETTI DIONISIO","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","ALICORP S.A.A.","PRESIDENTE DEL DIRECTORIO",2009-03-26,2010-03-03,"6 años, 11 meses, 0 días."
"ROMERO PAOLETTI DIONISIO","PRIMA AFP S.A.",DIRECTOR,"ALICORP S.A.A.","PRESIDENTE DEL DIRECTORIO",2009-03-02,2009-03-26,"6 años, 10 meses, 4 días."
"DE OSMA BERCKEMEYER OSCAR JAVIER","AFP INTEGRA",DIRECTOR,"AMERIKA FINANCIERA S.A.","PRESIDENTE DEL DIRECTORIO",2001-07-12,2003-01-21,"0 años, 3 meses, 22 días."
"DU BOIS FREUND FRITZ PAUL FELIX","AFP INTEGRA",DIRECTOR,"AUSTRAL GROUP S.A.A.",DIRECTOR,2008-01-25,2008-12-02,"1 años, 7 meses, 3 días."
"DU BOIS FREUND FRITZ PAUL FELIX","AFP INTEGRA",DIRECTOR,"AUSTRAL GROUP S.A.A.",DIRECTOR,2007-01-19,2008-01-25,"0 años, 6 meses, 28 días."
"DU BOIS FREUND FRITZ PAUL FELIX","AFP INTEGRA",DIRECTOR,"AUSTRAL GROUP S.A.A.",DIRECTOR,2006-06-22,2007-01-22,"5 años, 4 meses, 7 días."
"HUME HURTADO MARIA JESUS","AFP INTEGRA",DIRECTOR,"AUSTRAL GROUP S.A.A.",DIRECTOR,2008-01-25,2008-04-10,"2 años, 5 meses, 16 días."
"HUME HURTADO MARIA JESUS","AFP INTEGRA",DIRECTOR,"AUSTRAL GROUP S.A.A.",DIRECTOR,2007-01-19,2008-01-25,"1 años, 5 meses, 10 días."
"HUME HURTADO MARIA JESUS","AFP INTEGRA","PRESIDENTE DEL DIRECTORIO","AUSTRAL GROUP S.A.A.",DIRECTOR,2011-01-12,2011-04-15,"2 años, 9 meses, 2 días."
"HUME HURTADO MARIA JESUS","AFP INTEGRA","PRESIDENTE DEL DIRECTORIO","AUSTRAL GROUP S.A.A.",DIRECTOR,2010-12-17,2011-01-12,"2 años, 8 meses, 7 días."
"HUME HURTADO MARIA JESUS","AFP INTEGRA",DIRECTOR,"AUSTRAL GROUP S.A.A.",DIRECTOR,2010-01-22,2010-12-17,"1 años, 9 meses, 12 días."
"HUME HURTADO MARIA JESUS","AFP INTEGRA",DIRECTOR,"AUSTRAL GROUP S.A.A.",DIRECTOR,2008-04-10,2010-01-22,"0 años, 2 meses, 16 días."
"HUME HURTADO MARIA JESUS","AFP INTEGRA","PRESIDENTE DEL DIRECTORIO","AUSTRAL GROUP S.A.A.",DIRECTOR,2011-04-15,2014-04-09,"0 años, 3 meses, 3 días."
"HUME HURTADO MARIA JESUS","AFP INTEGRA","PRESIDENTE DEL DIRECTORIO","AUSTRAL GROUP S.A.A.",DIRECTOR,2017-01-25,2017-04-10,"2 años, 9 meses, 16 días."
"HUME HURTADO MARIA JESUS","AFP INTEGRA","PRESIDENTE DEL DIRECTORIO","AUSTRAL GROUP S.A.A.",DIRECTOR,2016-01-26,2017-01-25,"1 años, 9 meses, 17 días."
"HUME HURTADO MARIA JESUS","AFP INTEGRA","PRESIDENTE DEL DIRECTORIO","AUSTRAL GROUP S.A.A.",DIRECTOR,2015-01-19,2016-01-26,"0 años, 9 meses, 10 días."
