"CARRANZA JAHNSEN RAFAEL OSCAR","AFP HORIZONTE S.A.",DIRECTOR,"CONTINENTAL SOCIEDAD TITULIZADORA S.A.","PRESIDENTE DEL DIRECTORIO","GRUPO BBVA",2008-12-17,2009-01-30,"0 años, 6 meses, 0 días."
"PELLEJERO COLLADO ENRIQUE","AFP HORIZONTE S.A.","DIRECTOR SUPLENTE","CONTINENTAL SOCIEDAD TITULIZADORA S.A.",DIRECTOR,"GRUPO BBVA",2002-04-02,2002-10-17,"1 años, 10 meses, 16 días."
"PELLEJERO COLLADO ENRIQUE","AFP HORIZONTE S.A.",DIRECTOR,"CONTINENTAL SOCIEDAD TITULIZADORA S.A.",DIRECTOR,"GRUPO BBVA",2002-10-17,2004-02-05,"0 años, 6 meses, 15 días."
"CARRANZA JAHNSEN RAFAEL OSCAR","AFP HORIZONTE S.A.","GERENTE GENERAL","CONTINENTAL SOCIEDAD TITULIZADORA S.A.","PRESIDENTE DEL DIRECTORIO","GRUPO BBVA",2008-12-17,2009-01-30,"0 años, 6 meses, 0 días."
"GONZALES CHIRINOS BRUNO","AFP HORIZONTE S.A.","GTE DE MIDDLE OFFICE Y REG MCD","CONTINENTAL SOCIEDAD TITULIZADORA S.A.","ASESOR LEGAL","GRUPO BBVA",2011-07-18,2013-04-23,"3 años, 1 meses, 28 días."
"CARRANZA JAHNSEN RAFAEL OSCAR","AFP HORIZONTE S.A.",,"CONTINENTAL SOCIEDAD TITULIZADORA S.A.","PRESIDENTE DEL DIRECTORIO","GRUPO BBVA",2008-12-17,2009-01-30,"0 años, 6 meses, 0 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.",DIRECTOR,"CREDICORP LTD.","GTE. FINANZAS Y CONTABILIDAD","CREDICORP LTD.",2007-01-01,2007-03-28,"0 años, 8 meses, 10 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.",DIRECTOR,"CCR INC.",DIRECTOR,"CREDICORP LTD.",2007-01-01,2007-03-28,"4 años, 2 meses, 23 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.",DIRECTOR,"CCR INC.",DIRECTOR,"CREDICORP LTD.",2007-01-01,2007-01-01,"4 años, 2 meses, 23 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.",DIRECTOR,"CCR INC.",OTROS,"CREDICORP LTD.",2007-01-01,2007-01-01,"4 años, 2 meses, 23 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.",DIRECTOR,"BANCO DE CREDITO DEL PERU","GTE PLANEAMIENTO Y FINANZAS","CREDICORP LTD.",2007-01-01,2007-03-28,"0 años, 10 meses, 12 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.",DIRECTOR,"SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.",,"CREDICORP LTD.",2007-01-01,2007-03-28,"0 años, 6 meses, 18 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.",DIRECTOR,"SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.","GERENTE GENERAL","CREDICORP LTD.",2007-01-01,2007-03-28,"1 años, 0 meses, 3 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","VICEPRESIDENTE DEL DIRECTORIO","CREDICORP LTD.","GTE. FINANZAS Y CONTABILIDAD","CREDICORP LTD.",2007-03-28,2008-02-29,"1 años, 4 meses, 4 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","VICEPRESIDENTE DEL DIRECTORIO","CCR INC.",DIRECTOR,"CREDICORP LTD.",2007-03-28,2008-02-29,"6 años, 3 meses, 9 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","VICEPRESIDENTE DEL DIRECTORIO","BANCO DE CREDITO DEL PERU","GTE PLANEAMIENTO Y FINANZAS","CREDICORP LTD.",2007-03-28,2008-02-29,"2 años, 10 meses, 26 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","VICEPRESIDENTE DEL DIRECTORIO","SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.",,"CREDICORP LTD.",2007-03-28,2008-02-29,"2 años, 7 meses, 4 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","VICEPRESIDENTE DEL DIRECTORIO","SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.","GERENTE GENERAL","CREDICORP LTD.",2007-03-28,2008-02-29,"3 años, 0 meses, 17 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.",DIRECTOR,"CREDICORP LTD.","GTE. FINANZAS Y CONTABILIDAD","CREDICORP LTD.",2008-02-29,2008-03-27,"2 años, 3 meses, 5 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.",DIRECTOR,"CCR INC.",DIRECTOR,"CREDICORP LTD.",2008-02-29,2008-03-27,"7 años, 2 meses, 10 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.",DIRECTOR,"BANCO DE CREDITO DEL PERU","GTE PLANEAMIENTO Y FINANZAS","CREDICORP LTD.",2008-02-29,2008-03-27,"3 años, 9 meses, 30 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.",DIRECTOR,"SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.",,"CREDICORP LTD.",2008-02-29,2008-03-27,"3 años, 6 meses, 5 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.",DIRECTOR,"SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.","GERENTE GENERAL","CREDICORP LTD.",2008-02-29,2008-03-27,"3 años, 11 meses, 18 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","VICEPRESIDENTE DEL DIRECTORIO","CREDICORP LTD.","GTE. FINANZAS Y CONTABILIDAD","CREDICORP LTD.",2008-03-27,2008-03-28,"2 años, 4 meses, 3 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","VICEPRESIDENTE DEL DIRECTORIO","CREDICORP LTD.","GERENTE GENERAL","CREDICORP LTD.",2008-03-28,2009-03-02,"0 años, 0 meses, 1 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","VICEPRESIDENTE DEL DIRECTORIO","CCR INC.","PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2008-06-02,2009-03-02,"0 años, 2 meses, 6 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","VICEPRESIDENTE DEL DIRECTORIO","CCR INC.",DIRECTOR,"CREDICORP LTD.",2008-03-27,2008-06-02,"7 años, 3 meses, 8 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","VICEPRESIDENTE DEL DIRECTORIO","BANCO DE CREDITO DEL PERU","GTE PLANEAMIENTO Y FINANZAS","CREDICORP LTD.",2008-03-27,2008-04-01,"3 años, 10 meses, 26 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","VICEPRESIDENTE DEL DIRECTORIO","BANCO DE CREDITO DEL PERU","GERENTE GENERAL","CREDICORP LTD.",2008-04-01,2009-03-02,"0 años, 0 meses, 5 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","VICEPRESIDENTE DEL DIRECTORIO","SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.",,"CREDICORP LTD.",2008-03-27,2009-03-02,"3 años, 7 meses, 3 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","VICEPRESIDENTE DEL DIRECTORIO","SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.","GERENTE GENERAL","CREDICORP LTD.",2008-03-27,2008-04-28,"4 años, 0 meses, 16 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.",DIRECTOR,"CREDICORP LTD.","GERENTE GENERAL","CREDICORP LTD.",2009-03-02,2009-03-26,"0 años, 11 meses, 2 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.",DIRECTOR,"CCR INC.","PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2009-03-02,2009-03-26,"0 años, 9 meses, 0 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.",DIRECTOR,"BANCO DE CREDITO DEL PERU","GERENTE GENERAL","CREDICORP LTD.",2009-03-02,2009-03-26,"0 años, 11 meses, 1 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.",DIRECTOR,"SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.",,"CREDICORP LTD.",2009-03-02,2009-03-26,"4 años, 6 meses, 6 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","VICEPRESIDENTE DEL DIRECTORIO","CREDICORP LTD.","GERENTE GENERAL","CREDICORP LTD.",2009-03-26,2010-03-03,"0 años, 11 meses, 26 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","VICEPRESIDENTE DEL DIRECTORIO","CCR INC.","PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2009-03-26,2010-03-03,"0 años, 9 meses, 24 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","VICEPRESIDENTE DEL DIRECTORIO","BANCO DE CREDITO DEL PERU","GERENTE GENERAL","CREDICORP LTD.",2009-03-26,2010-03-03,"0 años, 11 meses, 25 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","VICEPRESIDENTE DEL DIRECTORIO","EDYFICAR PERU S.A.",DIRECTOR,"CREDICORP LTD.",2009-10-21,2010-03-03,"0 años, 6 meses, 18 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","VICEPRESIDENTE DEL DIRECTORIO","SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.",,"CREDICORP LTD.",2009-03-26,2010-03-03,"4 años, 7 meses, 2 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.",DIRECTOR,"CREDICORP LTD.","GERENTE GENERAL","CREDICORP LTD.",2010-03-04,2010-03-18,"1 años, 11 meses, 4 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.",DIRECTOR,"CCR INC.","PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2010-03-04,2010-03-18,"1 años, 9 meses, 2 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.",DIRECTOR,"BANCO DE CREDITO DEL PERU","GERENTE GENERAL","CREDICORP LTD.",2010-03-04,2010-03-18,"1 años, 11 meses, 3 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.",DIRECTOR,"EDYFICAR PERU S.A.",DIRECTOR,"CREDICORP LTD.",2010-03-04,2010-03-18,"0 años, 4 meses, 18 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.",DIRECTOR,"SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.",,"CREDICORP LTD.",2010-03-04,2010-03-18,"5 años, 6 meses, 8 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.","GERENTE GENERAL","CREDICORP LTD.",2010-03-18,2011-03-24,"1 años, 11 meses, 18 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","CCR INC.","PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2010-03-18,2011-03-24,"1 años, 9 meses, 16 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","BANCO DE CREDITO DEL PERU","GERENTE GENERAL","CREDICORP LTD.",2010-03-18,2011-03-24,"1 años, 11 meses, 17 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","EDYFICAR PERU S.A.",DIRECTOR,"CREDICORP LTD.",2010-03-18,2010-03-31,"0 años, 5 meses, 4 días."
