"AFP UNION VIDA S A","BANCO DE CREDITO DEL PERU","GRUPO CREDITO S.A.",84.86,99.97,2010-11-11,2017-01-11
"PRIMA AFP S.A.","BANCO DE CREDITO DEL PERU","GRUPO CREDITO S.A.",84.86,99.99,2010-11-11,2017-01-11
"AFP UNION VIDA S A","BANCO DE CREDITO DEL PERU","GRUPO CREDITO S.A.",88.774,99.97,2017-01-11,2017-01-12
"PRIMA AFP S.A.","BANCO DE CREDITO DEL PERU","GRUPO CREDITO S.A.",88.774,99.99,2017-01-11,2017-01-12
"AFP UNION VIDA S A","BANCO DE CREDITO DEL PERU","GRUPO CREDITO S.A.",92.574,99.97,2017-01-12,2017-01-13
"PRIMA AFP S.A.","BANCO DE CREDITO DEL PERU","GRUPO CREDITO S.A.",92.574,99.99,2017-01-12,2017-01-13
"AFP UNION VIDA S A","BANCO DE CREDITO DEL PERU","GRUPO CREDITO S.A.",93.96,99.97,2017-01-13,"A la actualidad"
"PRIMA AFP S.A.","BANCO DE CREDITO DEL PERU","GRUPO CREDITO S.A.",93.96,99.99,2017-01-13,"A la actualidad"
"AFP HORIZONTE S.A.","BBVA AMERICA FINANCE, S.A.U. (RET)","BANCO BILBAO VIZCAYA ARGENTARIA S.A.",100,24.85,2004-07-29,2013-04-23
"PROFUTURO AFP","CORPORACION ACEROS AREQUIPA S.A.","CORPORACION CERVESUR S.A.A.",8.43,19.95,2006-03-02,2006-12-13
"PROFUTURO AFP","CORPORACION ACEROS AREQUIPA S.A.","CORPORACION CERVESUR S.A.A.",9.56,19.95,2008-01-31,2008-06-19
"AFP HORIZONTE S.A.","FERREYCORP S.A.A.","AFP INTEGRA",5.01,50,2016-07-31,2016-11-30
"PROFUTURO AFP","FERREYCORP S.A.A.","CORPORACION CERVESUR S.A.A.",5.01,19.95,2005-09-15,2005-10-07
"AFP UNION VIDA S A","INVERSIONES CENTENARIO S.A.A.","GRUPO CREDITO S.A.",11.24,99.97,2006-08-25,2009-12-16
"PRIMA AFP S.A.","INVERSIONES CENTENARIO S.A.A.","GRUPO CREDITO S.A.",11.24,99.99,2006-05-26,2009-12-16
"AFP UNION VIDA S A","MIBANCO BANCO DE LA MICROEMPRESA S.A.","GRUPO CREDITO S.A.",4.74,99.97,2014-04-08,2015-10-07
"PRIMA AFP S.A.","MIBANCO BANCO DE LA MICROEMPRESA S.A.","GRUPO CREDITO S.A.",4.74,99.99,2014-04-08,2015-10-07
"AFP UNION VIDA S A","MIBANCO BANCO DE LA MICROEMPRESA S.A.","GRUPO CREDITO S.A.",0.26,99.97,2014-04-08,2015-10-08
"PRIMA AFP S.A.","MIBANCO BANCO DE LA MICROEMPRESA S.A.","GRUPO CREDITO S.A.",0.26,99.99,2014-04-08,2015-10-08
"PROFUTURO AFP","SCOTIABANK PERU S.A.A.","SCOTIA PERU HOLDINGS S.A.",40.07,99.986,2011-03-22,2012-06-19
"PROFUTURO AFP","SCOTIABANK PERU S.A.A.","SCOTIA PERU HOLDINGS S.A.",40.09,99.986,2012-06-19,2012-07-10
"PROFUTURO AFP","SCOTIABANK PERU S.A.A.","SCOTIA PERU HOLDINGS S.A.",40.11,99.986,2012-07-10,2015-12-23
"PROFUTURO AFP","SCOTIABANK PERU S.A.A.","SCOTIA PERU HOLDINGS S.A.",40.16,99.986,2015-12-23,2015-12-30
"PROFUTURO AFP","SCOTIABANK PERU S.A.A.","SCOTIA PERU HOLDINGS S.A.",40.17,99.986,2015-12-30,2016-06-14
"PROFUTURO AFP","SCOTIABANK PERU S.A.A.","SCOTIA PERU HOLDINGS S.A.",40.41,99.986,2016-06-14,"A la actualidad"
"AFP UNION VIDA S A","TITULIZADORA PERUANA SOCIEDAD TITULIZADORA S.A.","GRUPO CREDITO S.A.",27.5,99.97,2007-12-12,"A la actualidad"
"PRIMA AFP S.A.","TITULIZADORA PERUANA SOCIEDAD TITULIZADORA S.A.","GRUPO CREDITO S.A.",27.5,99.99,2007-12-12,"A la actualidad"
