MORALES DASSO JOSE RAIMUNDO,PRIMA AFP S.A.,PRESIDENTE DEL DIRECTORIO,14/03/2005,29/02/2008,ALICORP S.A.A.,DIRECTOR,31/03/2008,31/03/2010,"0 años, 1 meses, 2 días."
MORALES DASSO JOSE RAIMUNDO,PRIMA AFP S.A.,PRESIDENTE DEL DIRECTORIO,14/03/2005,29/02/2008,ALICORP S.A.A.,DIRECTOR,01/04/2010,A la actualidad,"2 años, 1 meses, 3 días."
ROMERO PAOLETTI DIONISIO,PRIMA AFP S.A.,PRESIDENTE DEL DIRECTORIO,26/03/2009,03/03/2010,ALICORP S.A.A.,PRESIDENTE DEL DIRECTORIO,01/04/2010,A la actualidad,"0 años, 0 meses, 29 días."
ROMERO PAOLETTI DIONISIO,PRIMA AFP S.A.,DIRECTOR,02/03/2009,26/03/2009,ALICORP S.A.A.,PRESIDENTE DEL DIRECTORIO,01/04/2010,A la actualidad,"1 años, 0 meses, 6 días."
DE OSMA BERCKEMEYER OSCAR JAVIER,AFP INTEGRA,DIRECTOR,12/07/2001,21/01/2003,AMERIKA FINANCIERA S.A.,PRESIDENTE DEL DIRECTORIO,22/03/2010,20/04/2010,"7 años, 2 meses, 1 días."
DE OSMA BERCKEMEYER OSCAR JAVIER,AFP INTEGRA,DIRECTOR,12/07/2001,21/01/2003,AMERIKA FINANCIERA S.A.,DIRECTOR,20/04/2010,20/04/2010,"7 años, 2 meses, 30 días."
DE OSMA BERCKEMEYER OSCAR JAVIER,AFP INTEGRA,DIRECTOR,12/07/2001,21/01/2003,AMERIKA FINANCIERA S.A.,PRESIDENTE DEL DIRECTORIO,20/04/2010,23/03/2011,"7 años, 2 meses, 30 días."
DE OSMA BERCKEMEYER OSCAR JAVIER,AFP INTEGRA,DIRECTOR,12/07/2001,21/01/2003,AMERIKA FINANCIERA S.A.,PRESIDENTE DEL DIRECTORIO,23/03/2011,07/12/2011,"8 años, 2 meses, 2 días."
HUME HURTADO MARIA JESUS,AFP INTEGRA,DIRECTOR,19/01/2007,25/01/2008,AUSTRAL GROUP S.A.A.,DIRECTOR,10/04/2008,15/04/2011,"0 años, 2 meses, 16 días."
HUME HURTADO MARIA JESUS,AFP INTEGRA,PRESIDENTE DEL DIRECTORIO,17/12/2010,12/01/2011,AUSTRAL GROUP S.A.A.,DIRECTOR,15/04/2011,09/04/2014,"0 años, 3 meses, 3 días."
HUME HURTADO MARIA JESUS,AFP INTEGRA,DIRECTOR,22/01/2010,17/12/2010,AUSTRAL GROUP S.A.A.,DIRECTOR,15/04/2011,09/04/2014,"0 años, 3 meses, 29 días."
HUME HURTADO MARIA JESUS,AFP INTEGRA,DIRECTOR,25/01/2008,22/01/2010,AUSTRAL GROUP S.A.A.,DIRECTOR,15/04/2011,09/04/2014,"1 años, 2 meses, 24 días."
HUME HURTADO MARIA JESUS,AFP INTEGRA,DIRECTOR,19/01/2007,25/01/2008,AUSTRAL GROUP S.A.A.,DIRECTOR,15/04/2011,09/04/2014,"3 años, 2 meses, 21 días."
HUME HURTADO MARIA JESUS,AFP INTEGRA,PRESIDENTE DEL DIRECTORIO,17/12/2010,12/01/2011,AUSTRAL GROUP S.A.A.,DIRECTOR,09/04/2014,10/04/2017,"3 años, 2 meses, 28 días."
HUME HURTADO MARIA JESUS,AFP INTEGRA,DIRECTOR,22/01/2010,17/12/2010,AUSTRAL GROUP S.A.A.,DIRECTOR,09/04/2014,10/04/2017,"3 años, 3 meses, 23 días."
