BAYLY LLONA WALTER,PRIMA AFP S.A.,DIRECTOR,01/01/2007,28/03/2007,CREDICORP LTD.,GERENTE GENERAL,28/03/2008,A la actualidad,CREDICORP LTD.,"1 años, 0 meses, 0 días."
BAYLY LLONA WALTER,PRIMA AFP S.A.,DIRECTOR,01/01/2007,28/03/2007,CCR INC.,PRESIDENTE DEL DIRECTORIO,02/06/2008,09/12/2015,CREDICORP LTD.,"1 años, 2 meses, 5 días."
BAYLY LLONA WALTER,PRIMA AFP S.A.,DIRECTOR,01/01/2007,28/03/2007,BANCO DE CREDITO DEL PERU,GERENTE GENERAL,01/04/2008,A la actualidad,CREDICORP LTD.,"1 años, 0 meses, 4 días."
BAYLY LLONA WALTER,PRIMA AFP S.A.,DIRECTOR,01/01/2007,28/03/2007,SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.,DIRECTOR,31/03/2011,31/08/2015,CREDICORP LTD.,"4 años, 0 meses, 3 días."
BAYLY LLONA WALTER,PRIMA AFP S.A.,VICEPRESIDENTE DEL DIRECTORIO,28/03/2007,29/02/2008,CREDICORP LTD.,GERENTE GENERAL,28/03/2008,A la actualidad,CREDICORP LTD.,"0 años, 0 meses, 28 días."
BAYLY LLONA WALTER,PRIMA AFP S.A.,VICEPRESIDENTE DEL DIRECTORIO,28/03/2007,29/02/2008,CCR INC.,PRESIDENTE DEL DIRECTORIO,02/06/2008,09/12/2015,CREDICORP LTD.,"0 años, 3 meses, 4 días."
BAYLY LLONA WALTER,PRIMA AFP S.A.,VICEPRESIDENTE DEL DIRECTORIO,28/03/2007,29/02/2008,BANCO DE CREDITO DEL PERU,GERENTE GENERAL,01/04/2008,A la actualidad,CREDICORP LTD.,"0 años, 1 meses, 3 días."
BAYLY LLONA WALTER,PRIMA AFP S.A.,VICEPRESIDENTE DEL DIRECTORIO,28/03/2007,29/02/2008,SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.,DIRECTOR,31/03/2011,31/08/2015,CREDICORP LTD.,"3 años, 1 meses, 2 días."
BAYLY LLONA WALTER,PRIMA AFP S.A.,DIRECTOR,29/02/2008,27/03/2008,CREDICORP LTD.,GERENTE GENERAL,28/03/2008,A la actualidad,CREDICORP LTD.,"0 años, 0 meses, 1 días."
BAYLY LLONA WALTER,PRIMA AFP S.A.,DIRECTOR,29/02/2008,27/03/2008,CCR INC.,PRESIDENTE DEL DIRECTORIO,02/06/2008,09/12/2015,CREDICORP LTD.,"0 años, 2 meses, 6 días."
BAYLY LLONA WALTER,PRIMA AFP S.A.,DIRECTOR,29/02/2008,27/03/2008,BANCO DE CREDITO DEL PERU,GERENTE GENERAL,01/04/2008,A la actualidad,CREDICORP LTD.,"0 años, 0 meses, 5 días."
BAYLY LLONA WALTER,PRIMA AFP S.A.,DIRECTOR,29/02/2008,27/03/2008,SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.,DIRECTOR,31/03/2011,31/08/2015,CREDICORP LTD.,"3 años, 0 meses, 4 días."
BAYLY LLONA WALTER,PRIMA AFP S.A.,VICEPRESIDENTE DEL DIRECTORIO,27/03/2008,02/03/2009,SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.,DIRECTOR,31/03/2011,31/08/2015,CREDICORP LTD.,"2 años, 0 meses, 29 días."
BAYLY LLONA WALTER,PRIMA AFP S.A.,DIRECTOR,02/03/2009,26/03/2009,SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.,DIRECTOR,31/03/2011,31/08/2015,CREDICORP LTD.,"2 años, 0 meses, 5 días."
BAYLY LLONA WALTER,PRIMA AFP S.A.,VICEPRESIDENTE DEL DIRECTORIO,26/03/2009,03/03/2010,SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.,DIRECTOR,31/03/2011,31/08/2015,CREDICORP LTD.,"1 años, 0 meses, 28 días."
BAYLY LLONA WALTER,PRIMA AFP S.A.,DIRECTOR,04/03/2010,18/03/2010,SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.,DIRECTOR,31/03/2011,31/08/2015,CREDICORP LTD.,"1 años, 0 meses, 13 días."
BAYLY LLONA WALTER,PRIMA AFP S.A.,PRESIDENTE DEL DIRECTORIO,18/03/2010,24/03/2011,SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.,DIRECTOR,31/03/2011,31/08/2015,CREDICORP LTD.,"0 años, 0 meses, 7 días."
BAYLY LLONA WALTER,PRIMA AFP S.A.,PRESIDENTE DEL DIRECTORIO,26/03/2014,26/03/2014,MIBANCO BANCO DE LA MICROEMPRESA S.A.,PRESIDENTE DEL DIRECTORIO,23/03/2016,A la actualidad,CREDICORP LTD.,"1 años, 11 meses, 26 días."
