afpId,shareholderId,participation,beginDate,endDate,serie
1,459,99.94,2013-02-13,,
2,212,50,2013-04-23,,COMUNES
2,65,24.85,2000-03-07,2013-04-23,
2,460,20.79,2013-02-27,2013-04-23,COMUNES
2,461,50,2013-04-23,,COMUNES
3,462,13.68,2011-12-29,2013-04-30,
3,462,10,2013-04-30,2013-04-30,
3,462,9.54,2013-04-30,2014-10-02,
3,463,16.82,2008-08-06,2008-08-06,C
3,463,36.82,2008-08-06,2013-04-30,C
3,463,25.69,2013-04-30,2014-10-02,
3,463,26,2013-04-30,2013-04-30,
3,464,10.71,2001-03-02,2007-05-18,C
3,464,13.4239,2007-05-18,2008-08-06,C
3,464,13.68,2008-08-06,2011-12-29,C
3,465,29.5,2004-10-29,2008-08-06,A
3,465,9.5,2008-08-06,2008-08-06,A
3,465,20,2008-08-06,2012-12-28,A
3,466,29.5,2001-12-04,2013-04-30,B
3,466,20,2013-04-30,2013-04-30,
3,466,20.58,2013-04-30,2014-10-02,
3,467,55.816268,2014-10-02,,
3,468,20,2012-12-28,2013-04-30,
3,468,44.18,2013-04-30,,
3,468,44,2013-04-30,2013-04-30,
4,43,99.97,2006-08-25,,
4,469,99.97,2004-02-02,2006-09-28,
5,43,99.99,2005-09-07,,
5,12,99.8,2005-03-14,2005-09-07,
6,470,15.39,2000-05-02,2003-12-04,
6,146,19.95,2004-08-12,2008-06-19,
6,471,95.06,2008-06-19,2008-11-10,COMUNES
6,471,99.5,2008-11-10,2011-03-22,COMUNES
6,472,9.99,2005-02-24,2008-06-19,
6,373,99.986,2011-03-22,,COMUNES
