companyId,functionaryId,position,beginDate,endDate,typePosition
1,2,DIRECTOR,2006-02-27,2010-04-15,DIRECTORIO
1,2,DIRECTOR,2010-04-15,2012-04-15,DIRECTORIO
1,2,DIRECTOR,2011-04-14,2013-04-12,DIRECTORIO
1,2,DIRECTOR,2013-04-12,2014-04-15,DIRECTORIO
1,2,DIRECTOR,2014-04-15,2015-04-14,DIRECTORIO
1,2,DIRECTOR,2015-04-14,2015-04-14,DIRECTORIO
1,2,DIRECTOR,2015-04-14,2016-04-15,DIRECTORIO
1,2,DIRECTOR,2016-04-15,2017-03-12,DIRECTORIO
1,2,DIRECTOR,2017-03-13,,DIRECTORIO
1,3,DIRECTOR,2017-03-13,,DIRECTORIO
1,4,DIRECTOR,2003-07-15,2006-02-27,DIRECTORIO
1,4,DIRECTOR,2017-03-13,,DIRECTORIO
1,5,DIRECTOR,2017-03-13,,DIRECTORIO
1,6,PRESIDENTE DEL DIRECTORIO,2003-07-15,2010-04-15,DIRECTORIO
1,6,PRESIDENTE DEL DIRECTORIO,2010-04-15,2012-04-15,DIRECTORIO
1,6,PRESIDENTE DEL DIRECTORIO,2011-04-14,2013-04-12,DIRECTORIO
1,6,PRESIDENTE DEL DIRECTORIO,2013-04-12,2014-04-15,DIRECTORIO
1,6,PRESIDENTE DEL DIRECTORIO,2014-04-15,2015-04-14,DIRECTORIO
1,6,PRESIDENTE DEL DIRECTORIO,2015-04-14,2016-04-15,DIRECTORIO
1,6,DIRECTOR,2015-04-14,2017-03-12,DIRECTORIO
1,6,PRESIDENTE DEL DIRECTORIO,2015-04-14,2015-04-14,DIRECTORIO
1,6,DIRECTOR,2015-04-14,2015-04-14,DIRECTORIO
1,6,PRESIDENTE DEL DIRECTORIO,2016-04-15,2017-03-12,DIRECTORIO
1,6,DIRECTOR,2017-03-13,,DIRECTORIO
1,7,DIRECTOR,2017-03-13,,DIRECTORIO
1,8,DIRECTOR,2006-02-27,2010-03-23,DIRECTORIO
1,8,DIRECTOR,2017-03-13,,DIRECTORIO
1,9,DIRECTOR,2003-07-15,2010-04-15,DIRECTORIO
1,9,DIRECTOR,2010-04-15,2012-04-15,DIRECTORIO
1,9,DIRECTOR,2011-04-14,2013-04-12,DIRECTORIO
1,9,DIRECTOR,2013-04-12,2014-04-15,DIRECTORIO
1,9,DIRECTOR,2014-04-15,2015-04-14,DIRECTORIO
1,9,DIRECTOR,2015-04-14,2016-04-15,DIRECTORIO
1,9,DIRECTOR,2015-04-14,2015-04-14,DIRECTORIO
1,9,DIRECTOR,2016-04-15,2017-03-12,DIRECTORIO
1,9,DIRECTOR,2017-03-13,,DIRECTORIO
1,10,DIRECTOR,2017-03-13,,DIRECTORIO
1,11,DIRECTOR,2017-03-13,,DIRECTORIO
1,8,GERENTE GENERAL,2002-08-20,,GERENTE GENERAL
1,8,,2002-08-20,,REPRESENTANTE LEGAL
2,12,DIRECTOR,2007-01-01,,DIRECTORIO
2,13,DIRECTOR,2015-12-28,,DIRECTORIO
2,14,DIRECTOR,2015-12-28,,DIRECTORIO
2,15,DIRECTOR,2007-06-20,,DIRECTORIO
2,16,DIRECTOR,2007-01-01,2015-12-28,DIRECTORIO
2,17,DIRECTOR,2015-02-25,2017-03-31,DIRECTORIO
2,18,DIRECTOR,2015-09-15,,DIRECTORIO
2,19,PRESIDENTE DEL DIRECTORIO,2007-01-01,,DIRECTORIO
2,20,DIRECTOR,2007-01-01,2015-12-28,DIRECTORIO
2,17,,2015-12-09,2016-02-29,GERENTE GENERAL
2,21,,2016-02-29,,GERENTE GENERAL
2,22,GERENTE COMERCIAL Y MARKETING,2016-04-28,,PLANA GERENCIAL
2,23,GERENTE DE ADMINISTRACION,2006-01-01,2006-10-06,PLANA GERENCIAL
2,24,GERENTE DE ADMINISTRACION,2006-10-17,2013-12-31,PLANA GERENCIAL
2,25,ASESOR LEGAL,2007-01-01,2014-06-30,PLANA GERENCIAL
2,26,GERENTE COMERCIAL,2016-04-28,,PLANA GERENCIAL
2,27,GERENTE LEGAL,2017-02-01,,PLANA GERENCIAL
2,17,GERENTE COMERCIAL,2007-01-01,2014-06-30,PLANA GERENCIAL
2,28,GERENTE OPERACIONES,2007-01-01,,PLANA GERENCIAL
2,29,GERENTE FINANCIERO,2016-04-28,,PLANA GERENCIAL
2,30,GERENTE DE TESORERIA,2016-08-03,,PLANA GERENCIAL
2,27,,2017-02-22,,REPRESENTANTE LEGAL
2,31,,2005-08-24,,REPRESENTANTE LEGAL
2,29,,2014-12-17,,REPRESENTANTE LEGAL
2,32,,2014-12-17,2017-01-31,REPRESENTANTE LEGAL
3,33,DIRECTOR,2001-03-28,2006-08-02,DIRECTORIO
3,34,DIRECTOR,2013-03-25,2016-03-30,DIRECTORIO
3,35,DIRECTOR,2004-09-27,2010-03-31,DIRECTORIO
3,36,DIRECTOR,2001-03-28,2008-03-31,DIRECTORIO
3,37,DIRECTOR,2010-04-01,,DIRECTORIO
3,38,DIRECTOR,2004-03-30,2004-09-09,DIRECTORIO
3,39,DIRECTOR,2016-03-30,,DIRECTORIO
3,40,DIRECTOR,2007-03-26,2010-03-31,DIRECTORIO
3,40,DIRECTOR,2010-04-01,2013-03-24,DIRECTORIO
3,41,DIRECTOR,2016-11-08,,DIRECTORIO
3,42,DIRECTOR,2005-03-01,2010-03-31,DIRECTORIO
3,42,DIRECTOR,2010-04-01,,DIRECTORIO
3,43,DIRECTOR ALTERNO,2004-03-30,2005-01-06,DIRECTORIO
3,44,DIRECTOR,2004-03-30,2005-01-06,DIRECTORIO
3,45,DIRECTOR,2008-03-31,2010-03-31,DIRECTORIO
3,45,DIRECTOR,2010-04-01,,DIRECTORIO
3,46,DIRECTOR ALTERNO,2001-03-28,2006-08-02,DIRECTORIO
3,46,DIRECTOR,2006-08-02,2010-03-31,DIRECTORIO
3,46,DIRECTOR,2010-04-01,,DIRECTORIO
3,47,DIRECTOR,2000-07-07,2004-03-30,DIRECTORIO
3,48,DIRECTOR,2001-03-28,2002-04-26,DIRECTORIO
3,48,VICEPRESIDENTE DEL DIRECTORIO,2002-04-26,2006-08-02,DIRECTORIO
3,49,VICEPRESIDENTE DEL DIRECTORIO,2006-08-02,2010-03-31,DIRECTORIO
3,50,DIRECTOR ALTERNO,2001-03-28,2006-08-02,DIRECTORIO
3,50,VICEPRESIDENTE DEL DIRECTORIO,2010-04-01,,DIRECTORIO
3,51,DIRECTOR SUPLENTE,2001-03-28,2010-03-31,DIRECTORIO
3,51,DIRECTOR SUPLENTE,2010-04-01,,DIRECTORIO
3,52,DIRECTOR,2002-04-26,2010-03-31,DIRECTORIO
3,52,DIRECTOR,2010-04-01,,DIRECTORIO
3,53,DIRECTOR SUPLENTE,2004-03-30,2010-03-31,DIRECTORIO
3,53,DIRECTOR SUPLENTE,2010-04-01,,DIRECTORIO
3,54,VICEPRESIDENTE DEL DIRECTORIO,2001-03-28,2002-04-26,DIRECTORIO
3,54,PRESIDENTE DEL DIRECTORIO,2002-04-26,2010-03-31,DIRECTORIO
3,54,PRESIDENTE DEL DIRECTORIO,2010-04-01,,DIRECTORIO
3,55,DIRECTOR,2005-03-01,2010-03-31,DIRECTORIO
